time,total_queue,total_waiting_time,congestion_state,e2_N_0,e2_N_1,e2_S_0,e2_S_1,e2_E_0,e2_E_1,e2_W_0,e2_W_1
336.0,0,811.0,0,0,0,0,0,0,0,0,0
339.0,0,718.0,0,0,0,0,0,0,0,0,0
342.0,0,763.0,0,0,0,0,0,0,0,0,0
345.0,0,808.0,0,0,0,0,0,0,0,0,0
348.0,0,853.0,0,0,0,0,0,0,0,0,0
351.0,0,898.0,0,0,0,0,0,0,0,0,0
354.0,0,943.0,0,0,0,0,0,0,0,0,0
357.0,0,988.0,0,0,0,0,0,0,0,0,0
360.0,0,1033.0,0,0,0,0,0,0,0,0,0
363.0,0,1078.0,0,0,0,0,0,0,0,0,0
366.0,0,757.0,0,0,0,0,0,0,0,0,0
369.0,0,523.0,0,0,0,0,0,0,0,0,0
372.0,0,314.0,0,0,0,0,0,0,0,0,0
375.0,0,263.0,0,0,0,0,0,0,0,0,0
378.0,0,275.0,0,0,0,0,0,0,0,0,0
381.0,0,287.0,0,0,0,0,0,0,0,0,0
384.0,0,299.0,0,0,0,0,0,0,0,0,0
387.0,0,311.0,0,0,0,0,0,0,0,0,0
390.0,0,323.0,0,0,0,0,0,0,0,0,0
393.0,0,335.0,0,0,0,0,0,0,0,0,0
396.0,0,347.0,0,0,0,0,0,0,0,0,0
399.0,0,0.0,0,0,0,0,0,0,0,0,0
402.0,0,0.0,0,0,0,0,0,0,0,0,0
405.0,0,0.0,0,0,0,0,0,0,0,0,0
408.0,0,0.0,0,0,0,0,0,0,0,0,0
411.0,0,0.0,0,0,0,0,0,0,0,0,0
414.0,0,0.0,0,0,0,0,0,0,0,0,0
417.0,0,0.0,0,0,0,0,0,0,0,0,0
